Tag,Year,NumLeaves(t-1),NumLeaves(t),LLL(t-1),LLL(t),NumFlowers,AbortedBuds,Alive(t+1),Comments
107,1984,14,24,60,82,0,0,1,
107,1985,24,36,82,104,0,0,1,
107,1986,36,46,104,105,0,0,0,
114,1979,NA,10,NA,70,0,0,1,
114,1980,10,11,70,34,0,0,1,
114,1981,11,NA,34,NA,0,0,1,
114,1982,NA,11,NA,58,0,0,1,
114,1983,11,14,58,83,0,0,1,
114,1984,14,25,83,100,0,0,1,
114,1985,25,37,100,126,0,0,0,
124TR,1984,NA,9,NA,50,0,0,1,
124TR,1985,9,11,50,70,0,0,1,
124TR,1986,11,13,70,60,0,0,1,
124TR,1987,13,NA,60,NA,0,0,1,
124TR,1988,NA,10,NA,67,0,0,1,
124TR,1989,10,10,67,80,0,0,1,
124TR,1990,10,11,80,114,0,0,1,
124TR,1991,11,10,114,96,0,0,1,
124TR,1992,10,12,96,98,0,0,1,
124TR,1993,12,15,98,102,0,0,1,
124TR,1994,15,17,102,90,0,0,1,
124TR,1995,17,18,90,97,0,0,1,
124TR,1996,18,27,97,NA,0,0,0,"Note in datasheet, no leaf length and questionable leaf number"
143,1983,NA,29,NA,88,0,0,0,
152,1980,NA,5,NA,58,0,0,1,
152,1981,5,8,58,44,0,0,1,
152,1982,8,8,44,42,0,0,0,
154,1980,NA,5,NA,43,0,0,1,
154,1981,5,8,43,50,0,0,1,
154,1982,8,9,50,44,0,0,1,
154,1983,9,9,44,73,0,0,0,
155,1980,NA,6,NA,20,0,0,0,
156,1980,NA,9,NA,40,0,0,1,
156,1981,9,18,40,49,0,0,1,
156,1982,18,26,49,56,0,0,1,
156,1983,26,30,56,74,0,0,0,
157,1980,NA,7,NA,49,0,0,1,
157,1981,7,12,49,55,0,0,1,
157,1982,12,13,55,68,0,0,1,
157,1983,13,15,68,100,0,0,1,
157,1984,15,15,100,77,0,0,1,
157,1985,15,16,77,81,0,0,1,
157,1986,16,19,81,90,0,0,1,
157,1987,19,19,90,93,0,0,1,
157,1988,19,23,93,107,0,0,1,
157,1989,23,34,107,94,0,0,0,
159U,1982,NA,4,NA,12,0,0,1,
159U,1983,4,4,12,17,0,0,1,
159U,1984,4,7,17,38,0,0,0,Gophered
159D,1980,NA,2,NA,12,0,0,1,
159D,1981,2,NA,12,NA,0,0,1,
159D,1982,NA,10,NA,32,0,0,1,
159D,1983,10,9,32,51,0,0,1,
159D,1984,9,17,51,59,0,0,0,Gophered
160,1980,NA,4,NA,9,0,0,1,
160,1981,4,3,9,19,0,0,0,
161,1980,NA,7,NA,41,0,0,0,
162,1980,NA,5,NA,57,0,0,0,
163,1980,NA,5,NA,55,0,0,1,
163,1981,5,NA,55,NA,0,0,1,
163,1982,NA,NA,NA,NA,0,0,1,
163,1983,NA,11,NA,90,0,0,0,
164,1980,NA,6,NA,12,0,0,0,
165,1980,NA,8,NA,60,0,0,1,
165,1981,8,15,60,65,0,0,1,
165,1982,15,23,65,64,0,0,1,
165,1983,23,25,64,91,0,0,0,
168,1980,NA,5,NA,19,0,0,0,
169,1980,NA,5,NA,21,0,0,1,
169,1981,5,9,21,35,0,0,1,
169,1982,9,11,35,48,0,0,1,
169,1983,11,8,48,77,0,0,0,
172U,1979,NA,3,NA,10,0,0,1,
172U,1980,3,4,10,22,0,0,1,
172U,1981,4,4,22,32,0,0,1,
172U,1982,4,4,32,51,0,0,1,
172U,1983,4,7,51,64,0,0,1,
172U,1984,7,6,64,62,0,0,1,
172U,1985,6,7,62,67,0,0,1,
172U,1986,7,6,67,69,0,0,1,
172U,1987,6,10,69,82,0,0,1,
172U,1988,10,15,82,70,0,0,1,
172U,1989,15,19,70,91,0,0,1,
172U,1990,19,21,91,82,0,0,1,
172U,1991,21,22,82,83,0,0,1,
172U,1992,22,19,83,77,0,0,1,
172U,1993,19,17,77,69,0,0,1,
172U,1994,17,15,69,63,0,0,1,
172U,1995,15,13,63,65,0,0,0,I think # leaves and LLL switched in datasheet
172D,1995,NA,5,NA,20,0,0,0,
173,1980,NA,3,NA,14,0,0,0,
174,1980,NA,6,NA,20,0,0,0,
175R,1980,NA,4,NA,8,0,0,1,
175R,1981,4,5,8,13,0,0,1,
175R,1982,5,6,13,23,0,0,1,
175R,1983,6,4,23,36,0,0,0,
175L,1980,NA,3,NA,11,0,0,1,
175L,1981,3,4,11,13,0,0,1,
175L,1982,4,5,13,20,0,0,0,
200,1980,NA,4,NA,17,0,0,1,
200,1981,4,2,17,25,0,0,1,
200,1982,2,7,25,33,0,0,1,
200,1983,7,NA,33,NA,0,0,1,
200,1984,NA,5,NA,22,0,0,1,
200,1985,5,5,22,55,0,0,1,
200,1986,5,5,55,62,0,0,1,
200,1987,5,NA,62,NA,0,0,1,
200,1988,NA,6,NA,67,0,0,1,
200,1989,6,6,67,51,0,0,1,
200,1990,6,7,51,68,0,0,1,
200,1991,7,8,68,81,0,0,1,
200,1992,8,9,81,92,0,0,1,
200,1993,9,10,92,96,0,0,0,Gophered
208,1981,NA,21,NA,80,0,0,1,
208,1982,21,19,80,75,0,0,1,
208,1983,19,19,75,119,0,0,1,
208,1984,19,5,119,38,0,0,1,
208,1985,5,6,38,39,0,0,1,
208,1986,6,6,39,30,0,0,1,
208,1987,6,NA,30,NA,0,0,1,
208,1988,NA,8,NA,55,0,0,1,
208,1989,8,10,55,47,0,0,1,
208,1990,10,9,47,67,0,0,1,
208,1991,9,12,67,69,0,0,1,
208,1992,12,10,69,83,0,0,1,
208,1993,10,10,83,96,0,0,0,
228U,1987,NA,8,NA,23,0,0,1,
228U,1988,8,10,23,85,0,0,1,
228U,1989,10,12,85,57,0,0,1,
228U,1990,12,13,57,83,0,0,1,
228U,1991,13,16,83,72,0,0,1,
228U,1992,16,16,72,89,0,0,1,
228U,1993,16,18,89,100,0,0,1,
228U,1994,18,20,100,103,0,0,1,
228U,1995,20,27,103,90,0,0,0,Gopher dump in 1997
228M,1988,NA,8,NA,79,0,0,1,
228M,1989,8,10,79,68,0,0,1,
228M,1990,10,13,68,95,0,0,1,
228M,1991,13,15,95,86,0,0,1,
228M,1992,15,15,86,99,0,0,1,
228M,1993,15,19,99,104,0,0,1,
228M,1994,19,19,104,105,0,0,0,Gopher dump in 1997
228DR,1987,NA,6,NA,46,0,0,1,
228DR,1988,6,5,46,74,0,0,1,
228DR,1989,5,5,74,59,0,0,1,
228DR,1990,5,8,59,76,0,0,1,
228DR,1991,8,11,76,75,0,0,1,
228DR,1992,11,10,75,89,0,0,1,
229DR,1993,10,11,89,87,0,0,1,
229DR,1994,11,14,87,95,0,0,0,Gopher dump in 1997
228DL,1994,NA,8,NA,87,0,0,0,Gopher dump in 1997
246U,1981,NA,6,NA,13,0,0,1,
246U,1982,6,5,13,19,0,0,1,
246U,1983,5,5,19,42,0,0,1,
246U,1984,5,8,42,56,0,0,1,
246U,1985,8,8,56,68,0,0,1,
246U,1986,8,11,68,76,0,0,1,
246U,1987,11,11,76,80,0,0,1,
246U,1988,11,14,80,94,0,0,1,
246U,1989,14,18,94,74,0,0,1,
246U,1990,18,17,74,105,0,0,1,
246U,1991,17,20,105,98,0,0,1,
246U,1992,20,23,98,108,0,0,1,
264U,1993,23,27,108,119,0,0,0,
249,1981,NA,6,NA,29,0,0,1,
249,1982,6,7,29,36,0,0,1,
249,1983,7,6,36,51,0,0,1,
249,1984,6,NA,51,NA,0,0,1,
249,1985,NA,15,NA,80,0,0,1,
249,1986,15,18,80,90,0,0,1,
249,1987,18,17,90,92,0,0,1,
249,1988,17,25,92,104,0,0,1,
249,1989,25,12,104,113,0,0,1,
249,1990,12,21,113,105,0,0,1,
249,1991,21,18,105,104,0,0,1,
249,1992,18,23,104,111,0,0,1,
249,1993,23,27,111,115,0,0,0,
274,1984,NA,4,NA,44,0,0,1,
274,1985,4,5,44,58,0,0,1,
274,1986,5,5,58,55,0,0,1,
274,1987,5,5,55,36,0,0,1,
274,1988,5,5,36,82,0,0,1,
274,1989,5,6,82,61,0,0,1,
274,1990,6,8,61,80,0,0,1,
274,1991,8,8,80,72,0,0,1,
274,1992,8,9,72,85,0,0,1,
274,1993,9,10,85,83,0,0,1,
274,1994,10,8,83,80,0,0,1,
274,1995,8,15,80,88,0,0,0,
276DN,1982,NA,5,NA,19,0,0,1,
276DN,1983,5,3,19,24,0,0,1,
